Session_Duration,Page_Views,Purchase_Amount,Bounce_Rate
20.49,3.0,95.44,34.14
39.98,17.0,396.04,18.22
6.72,2.0,335.2,92.48
14.84,18.0,214.09,90.72
24.31,19.0,226.36,59.25
14.48,3.0,428.0,83.87
51.27,6.0,433.94,95.88
22.56,18.0,366.19,60.3
7.73,,476.42,15.64
32.05,14.0,392.95,61.51
44.26,12.0,390.58,71.78
40.86,9.0,143.91,43.19
4.65,13.0,485.61,39.97
28.35,15.0,472.69,90.82
58.8,16.0,384.48,93.62
4.96,7.0,288.06,12.57
39.28,11.0,154.58,59.97
30.13,8.0,21.0,28.82
28.06,17.0,314.27,3.77
52.02,5.0,158.73,20.43
53.53,,187.93,69.22
4.65,15.0,409.65,44.01
41.86,12.0,357.58,5.84
22.74,12.0,430.89,32.97
56.35,,266.57,92.35
38.51,3.0,392.09,8.46
36.25,8.0,395.49,68.81
8.01,19.0,279.55,88.12
46.33,,149.98,92.67
29.85,5.0,238.04,91.34
32.77,1.0,126.73,0.41
32.46,11.0,372.08,4.11
45.11,13.0,160.71,23.58
11.46,12.0,479.41,64.67
43.88,15.0,194.7,53.3
34.67,,478.86,58.13
45.16,5.0,418.96,19.85
35.08,10.0,184.85,22.93
6.37,9.0,68.64,87.17
4.35,12.0,139.33,23.89
40.3,4.0,170.32,11.91
22.65,6.0,12.5,17.0
57.3,9.0,56.04,11.32
30.63,14.0,130.67,71.54
54.99,13.0,444.47,2.19
48.33,3.0,376.74,93.17
33.5,14.0,189.04,46.92
19.24,,0.29,92.63
56.38,17.0,50.72,46.78
3.12,7.0,85.46,66.57
25.44,1.0,408.98,82.8
27.39,18.0,460.82,30.51
15.69,1.0,364.64,80.55
51.48,3.0,369.25,67.75
9.82,,18.93,91.27
14.15,14.0,301.91,9.78
35.7,7.0,165.41,61.79
10.73,12.0,27.97,52.11
14.12,2.0,287.87,68.66
58.55,18.0,294.79,98.13
23.96,2.0,398.43,6.1
16.11,6.0,201.35,79.89
35.96,17.0,341.7,4.9
42.15,19.0,396.44,77.27
45.42,1.0,393.53,53.6
9.44,15.0,218.01,47.62
31.29,11.0,262.5,25.81
51.34,13.0,132.0,23.08
52.33,15.0,363.7,86.23
27.68,11.0,142.56,29.68
44.6,4.0,182.13,55.26
58.2,,86.78,63.93
20.26,18.0,46.56,51.89
15.61,8.0,41.21,44.3
5.38,6.0,75.45,50.15
58.64,2.0,114.09,37.67
6.14,18.0,87.98,39.06
55.78,9.0,206.61,11.62
1.54,,321.23,10.17
31.85,,276.24,30.55
48.37,7.0,344.1,25.57
34.37,16.0,431.06,31.95
41.1,8.0,53.16,64.28
37.79,2.0,398.65,85.63
19.6,6.0,293.59,91.03
37.13,6.0,193.46,98.87
21.99,4.0,242.43,17.79
48.52,16.0,183.24,70.89
3.5,10.0,424.72,46.73
32.49,18.0,341.23,48.8
27.36,11.0,184.44,96.61
14.25,18.0,164.03,31.38
56.99,,332.58,38.81
30.95,4.0,108.24,8.11
29.45,6.0,22.97,3.85
17.01,2.0,235.1,66.33
12.62,15.0,53.49,9.6
27.76,16.0,43.7,10.93
42.14,8.0,250.73,52.3
26.8,7.0,19.86,93.89
30.49,18.0,70.83,78.24
24.72,8.0,390.23,70.63
37.96,9.0,292.67,28.42
27.22,4.0,182.01,39.82
44.99,4.0,97.25,49.56
57.75,15.0,153.82,78.27
22.33,6.0,352.29,14.69
44.08,6.0,124.99,77.45
42.27,17.0,487.53,71.17
40.19,9.0,414.58,63.79
44.97,,468.49,13.54
2.87,3.0,9.64,84.26
11.85,17.0,63.96,17.01
17.82,9.0,489.87,14.08
36.81,2.0,443.23,67.77
49.57,18.0,410.7,56.53
54.04,12.0,66.1,35.26
59.46,2.0,435.73,85.34
36.68,2.0,34.17,77.93
30.78,14.0,234.75,50.12
20.38,7.0,452.98,69.91
19.07,7.0,473.76,24.6
40.44,13.0,239.87,15.29
43.17,6.0,403.09,98.78
27.57,,423.93,88.47
10.01,12.0,391.12,71.87
48.67,18.0,444.18,77.51
50.54,6.0,272.28,88.65
21.16,4.0,260.75,16.79
51.52,,411.29,40.7
47.98,12.0,258.09,45.77
10.1,3.0,295.39,84.89
7.69,5.0,497.85,19.84
38.09,9.0,203.99,66.25
40.68,10.0,458.78,30.12
7.97,3.0,200.57,19.8
32.16,1.0,363.95,7.3
19.67,8.0,113.71,71.66
14.47,,168.62,27.54
18.93,10.0,7.32,52.87
57.71,7.0,339.59,0.31
7.92,4.0,199.82,31.51
31.35,5.0,97.65,10.14
50.05,,225.51,91.61
10.12,,363.42,33.52
45.22,15.0,330.93,70.96
40.44,18.0,244.01,39.75
34.48,5.0,94.96,57.45
48.48,9.0,410.75,60.96
29.84,15.0,428.73,21.75
10.35,1.0,132.46,93.86
50.86,15.0,87.51,67.26
52.41,16.0,173.19,7.37
26.88,,144.29,91.95
17.11,11.0,416.49,59.6
43.01,1.0,155.08,78.81
43.8,3.0,445.98,67.75
26.91,18.0,280.39,6.02
57.11,15.0,39.84,1.41
8.89,,494.05,67.39
51.91,8.0,155.76,71.46
20.08,2.0,315.76,59.6
23.34,8.0,303.52,35.47
26.74,,138.59,21.5
29.28,7.0,294.02,79.9
26.12,,410.12,43.65
8.56,11.0,115.18,89.85
11.04,7.0,479.92,39.83
53.42,19.0,404.14,6.9
11.41,19.0,326.98,62.4
6.09,7.0,179.69,59.49
54.96,19.0,206.01,88.64
17.51,17.0,360.85,57.27
6.44,2.0,12.02,95.41
54.01,12.0,154.25,23.65
8.38,11.0,431.28,34.77
29.36,5.0,246.66,30.09
16.31,19.0,110.91,46.12
20.32,1.0,54.47,1.01
52.78,10.0,297.3,37.39
30.76,8.0,460.19,47.19
51.54,3.0,66.18,27.78
10.59,3.0,432.91,88.7
20.58,1.0,450.94,17.43
30.95,6.0,162.99,16.91
22.89,10.0,198.12,97.7
34.4,2.0,229.97,41.92
46.35,,50.06,26.67
26.17,17.0,432.86,5.24
22.09,6.0,408.11,35.08
53.83,10.0,294.16,24.01
56.09,5.0,209.12,19.11
57.89,1.0,445.76,68.16
35.2,9.0,301.14,89.37
56.18,,311.82,61.81
10.87,5.0,363.26,81.77
20.77,18.0,140.01,66.14
38.94,11.0,275.27,18.03
18.37,6.0,79.38,13.22
5.78,3.0,153.62,68.37
25.7,14.0,103.48,82.71
42.95,,48.95,89.33
48.17,8.0,407.63,77.66
38.45,2.0,395.67,14.72
4.96,5.0,221.99,44.56
29.6,,454.89,13.23
55.93,17.0,90.85,94.61
49.37,10.0,330.16,81.14
42.85,5.0,177.29,51.96
24.7,14.0,256.96,79.73
33.22,11.0,79.04,51.97
10.71,18.0,300.48,30.31
8.43,18.0,140.68,30.45
52.73,12.0,382.58,50.55
6.32,1.0,237.99,75.41
57.01,2.0,232.01,40.91
12.49,4.0,177.37,45.41
27.53,9.0,110.02,48.89
56.08,10.0,13.71,63.67
15.18,17.0,345.64,94.68
2.39,5.0,375.85,30.42
36.38,17.0,35.31,78.32
33.93,6.0,397.73,10.3
32.11,,443.91,11.67
39.51,11.0,321.65,98.07
22.67,2.0,52.73,70.86
22.49,2.0,478.69,13.51
58.18,9.0,52.24,9.44
4.69,1.0,159.29,32.84
48.13,16.0,465.77,18.18
42.41,,272.64,23.11
3.97,17.0,205.06,6.34
37.48,1.0,306.88,27.65
43.65,1.0,421.18,76.48
9.13,18.0,136.13,27.22
34.76,,93.26,31.79
46.06,16.0,228.39,82.64
22.91,17.0,426.81,57.42
59.2,1.0,62.14,11.12
2.88,13.0,452.46,29.03
21.47,4.0,391.95,9.03
59.98,14.0,261.09,49.35
35.45,17.0,360.68,78.29
28.04,5.0,193.08,71.34
6.08,14.0,254.79,1.81
20.74,14.0,208.53,83.12
44.73,8.0,13.14,10.04
42.89,3.0,156.29,10.59
4.41,15.0,211.52,76.67
38.57,3.0,432.8,65.77
3.55,13.0,165.21,4.05
22.97,15.0,410.95,33.98
42.68,,231.91,64.38
45.19,10.0,495.29,71.6
13.39,4.0,262.68,76.31
14.41,16.0,211.44,83.16
19.74,,225.56,72.92
41.77,14.0,140.81,46.01
56.02,7.0,37.91,56.76
47.21,1.0,108.42,90.94
27.32,3.0,310.85,36.31
46.58,7.0,243.24,59.94
16.82,5.0,497.93,8.49
9.01,,426.79,62.96
42.72,1.0,42.7,71.78
33.79,11.0,168.84,98.42
16.89,1.0,295.18,79.72
38.85,,141.76,20.26
45.17,1.0,213.15,83.68
34.51,7.0,66.48,94.36
45.95,11.0,426.06,81.48
38.13,8.0,32.92,38.09
19.9,5.0,125.27,26.54
11.88,,77.42,61.28
51.95,,479.89,51.67
48.72,,40.41,67.73
1.83,16.0,492.56,19.95
31.42,12.0,274.01,77.36
9.06,1.0,277.96,44.05
36.94,,317.8,99.9
32.2,16.0,141.59,64.87
8.27,6.0,441.83,35.12
42.77,5.0,438.77,11.95
29.55,5.0,230.73,96.63
16.32,14.0,158.86,29.58
15.53,,10.03,75.96
19.95,7.0,212.43,93.81
35.14,19.0,461.39,33.93
2.7,,479.03,12.93
34.42,13.0,246.79,74.34
25.77,4.0,112.33,85.62
1.87,10.0,390.03,99.16
40.88,19.0,391.28,64.88
27.67,15.0,493.95,93.53
38.87,14.0,97.31,79.25
28.03,4.0,227.43,59.46
58.52,1.0,125.18,43.77
23.55,15.0,232.65,52.39
54.93,13.0,211.01,89.87
15.08,,129.56,9.0
43.26,9.0,242.05,56.26
15.28,18.0,137.77,89.65
38.81,2.0,282.12,1.79
42.87,11.0,455.28,51.57
22.36,,492.85,9.71
57.73,,426.12,81.33
29.4,9.0,326.71,56.06
57.55,2.0,387.13,5.46
7.36,8.0,496.08,53.45
22.36,10.0,158.09,70.29
28.22,1.0,319.52,56.91
23.83,10.0,442.04,86.85
32.6,8.0,199.8,68.53
7.6,2.0,349.89,44.05
1.06,18.0,157.66,15.34
14.53,12.0,165.48,10.69
56.99,1.0,268.48,62.88
48.18,5.0,43.39,13.86
40.44,13.0,118.35,29.28
25.51,8.0,473.36,80.98
15.48,19.0,267.84,72.48
33.59,,466.07,96.11
35.47,14.0,102.7,25.57
31.91,9.0,377.14,87.85
22.54,4.0,308.34,51.73
28.77,5.0,276.74,28.29
44.43,13.0,25.64,68.38
43.39,6.0,416.88,73.49
1.71,15.0,158.26,30.01
35.93,,67.05,30.9
45.18,2.0,91.62,6.63
56.06,6.0,74.26,32.21
55.57,2.0,343.11,21.54
44.32,11.0,149.56,64.66
31.97,6.0,237.49,16.03
2.33,3.0,75.27,27.94
25.36,19.0,164.74,13.3
52.23,2.0,8.9,52.37
59.52,11.0,257.32,89.87
23.72,,79.14,62.69
6.58,2.0,180.51,13.77
44.25,1.0,367.61,76.48
56.97,12.0,48.96,87.79
39.8,18.0,393.35,21.6
28.71,8.0,114.67,48.62
33.28,12.0,39.17,7.0
20.1,6.0,450.11,63.17
16.17,12.0,378.11,85.08
12.96,,280.69,31.42
24.62,5.0,230.03,1.49
39.72,1.0,4.15,97.29
56.71,8.0,21.92,33.55
53.8,5.0,172.57,28.4
49.82,,20.5,16.96
49.47,,208.65,62.01
40.17,6.0,427.57,54.17
4.5,16.0,44.12,29.23
52.97,19.0,142.67,79.1
37.45,1.0,429.07,2.6
45.7,1.0,258.33,25.66
49.69,19.0,83.12,31.32
43.84,16.0,262.98,66.99
42.61,,234.61,83.64
48.57,1.0,381.02,59.25
31.79,19.0,253.93,92.63
25.38,,122.73,7.21
34.58,11.0,196.29,16.82
54.7,8.0,173.92,75.34
2.59,18.0,375.5,21.62
10.15,,461.73,58.94
14.05,11.0,245.64,42.09
46.89,11.0,264.49,88.42
36.68,17.0,164.27,24.74
33.98,,444.69,30.67
52.58,12.0,396.83,38.21
58.05,17.0,289.66,93.06
21.88,12.0,194.03,9.13
43.82,6.0,37.04,69.25
48.96,5.0,336.36,75.79
9.27,17.0,106.85,14.95
56.69,,339.04,76.21
37.85,9.0,242.64,76.88
57.04,6.0,486.44,96.98
38.77,13.0,340.8,57.99
19.13,6.0,348.78,13.07
52.79,6.0,278.66,58.65
15.65,4.0,344.09,37.82
40.27,16.0,202.17,1.19
38.63,4.0,224.01,56.5
55.76,11.0,162.59,50.46
54.0,14.0,204.27,47.88
10.2,7.0,133.08,93.77
2.19,7.0,133.95,28.41
6.36,13.0,397.53,27.85
28.81,14.0,250.85,67.22
43.78,14.0,266.28,91.59
37.97,3.0,495.23,45.18
17.45,,170.03,37.78
13.39,19.0,350.73,75.59
5.42,12.0,407.75,77.67
50.71,11.0,429.59,43.42
16.06,2.0,27.95,3.72
23.58,6.0,132.72,22.75
49.74,13.0,378.74,93.27
33.65,6.0,2.0,25.01
8.16,9.0,66.19,77.11
42.03,6.0,480.84,81.85
15.92,8.0,330.36,58.42
8.79,6.0,382.04,65.4
1.39,4.0,233.43,51.27
32.1,,121.36,23.44
43.84,4.0,227.13,37.04
20.21,3.0,453.78,98.24
8.24,12.0,388.68,18.61
9.59,16.0,14.27,76.66
12.99,,476.64,88.46
6.09,12.0,209.15,15.26
15.5,9.0,455.03,92.11
49.37,,289.5,99.25
30.27,10.0,63.27,26.92
10.27,,327.53,64.87
33.3,5.0,184.23,38.94
50.4,11.0,88.01,57.52
33.18,12.0,127.54,15.83
4.34,9.0,4.67,31.63
42.77,16.0,454.54,29.51
48.16,4.0,320.8,65.25
4.55,9.0,339.78,36.87
54.01,8.0,424.24,28.61
32.73,3.0,135.91,72.85
44.69,6.0,432.24,48.67
57.84,5.0,496.71,60.38
29.54,17.0,409.61,39.79
21.15,10.0,462.88,4.32
52.63,8.0,429.74,99.77
37.7,18.0,415.98,79.9
14.68,2.0,63.09,89.88
44.46,11.0,427.77,34.89
49.79,10.0,298.0,25.65
28.07,9.0,224.18,79.33
13.98,7.0,94.14,45.03
28.69,2.0,496.52,79.15
29.02,16.0,22.23,32.36
37.08,12.0,62.03,46.54
12.99,15.0,452.99,65.58
46.89,,123.16,21.85
34.67,18.0,403.17,89.83
45.98,3.0,277.08,17.87
19.26,16.0,295.99,99.42
27.75,17.0,247.8,43.08
48.37,10.0,266.87,26.3
6.29,18.0,367.23,7.24
10.14,19.0,241.87,22.8
38.62,12.0,136.55,8.0
11.89,15.0,229.29,7.13
58.0,9.0,43.31,78.12
7.53,5.0,27.77,94.8
2.46,7.0,411.3,74.21
22.18,16.0,4.72,33.24
45.95,18.0,101.38,22.8
37.95,13.0,464.52,78.03
36.41,7.0,48.04,54.38
31.67,6.0,110.24,55.68
37.95,11.0,249.16,71.31
51.98,,273.51,61.16
14.74,18.0,391.94,64.51
58.29,19.0,104.86,76.64
20.83,17.0,350.01,44.79
42.54,6.0,474.37,72.08
6.48,19.0,172.47,53.38
5.48,8.0,355.11,53.07
45.62,1.0,275.9,33.86
38.48,19.0,256.74,88.56
18.69,,484.96,41.94
48.24,16.0,74.77,45.67
15.14,13.0,424.39,82.04
29.71,10.0,67.43,27.22
2.5,8.0,200.34,71.15
40.24,3.0,168.11,8.06
18.32,13.0,297.64,97.76
2.22,4.0,413.32,18.81
11.13,9.0,291.07,57.07
51.27,8.0,129.24,21.41
8.8,19.0,123.73,36.12
59.17,12.0,201.59,33.61
23.39,13.0,297.99,78.71
41.82,13.0,295.29,23.83
50.9,13.0,113.89,45.34
59.0,,38.65,25.24
15.37,16.0,491.55,48.71
30.73,13.0,420.42,66.86
28.74,19.0,110.41,4.95
50.66,7.0,45.54,62.18
55.16,,476.95,29.95
32.85,15.0,318.22,54.82
44.98,16.0,96.56,48.92
5.44,9.0,257.04,16.28
25.27,16.0,196.77,41.6
5.69,8.0,298.58,47.97
7.59,15.0,179.9,83.98
55.6,6.0,385.83,67.29
22.75,11.0,253.06,85.9
18.96,7.0,62.31,25.89
23.42,11.0,74.71,42.5
10.1,,65.92,73.43
44.0,,464.54,24.07
34.12,12.0,147.28,37.09
49.73,3.0,321.41,34.42
7.96,8.0,429.67,35.26
20.2,6.0,95.39,13.59
51.84,9.0,1.2,65.03
12.79,6.0,438.83,77.86
27.1,15.0,360.25,93.9
50.52,5.0,393.04,28.63
47.54,8.0,216.88,42.42
38.44,16.0,395.87,51.03
56.25,14.0,453.76,30.78
43.8,13.0,251.39,26.25
57.25,9.0,431.68,86.0
3.68,11.0,400.89,29.92
13.91,,397.88,68.26
6.06,3.0,429.0,21.01
26.21,8.0,432.32,29.52
38.98,6.0,261.26,16.02
10.14,15.0,129.69,56.57
37.69,,403.46,94.87
41.34,6.0,314.92,60.81
17.76,10.0,280.08,90.32
32.18,,291.87,4.4
54.6,18.0,141.79,58.13
16.87,13.0,295.87,10.8
47.03,7.0,474.7,55.33
59.03,5.0,216.95,75.1
44.58,,320.35,81.72
7.38,11.0,391.2,80.15
2.1,15.0,153.22,48.15
12.62,3.0,251.27,39.83
37.94,6.0,13.69,92.18
59.74,11.0,320.04,22.92
25.13,16.0,205.18,15.13
55.66,16.0,261.12,11.44
6.07,,270.08,74.13
5.24,14.0,428.08,65.18
49.25,16.0,24.45,18.73
40.36,18.0,374.92,91.69
57.43,10.0,340.63,93.35
13.16,12.0,450.66,79.39
29.98,7.0,295.13,4.57
14.38,19.0,430.1,97.59
39.9,2.0,236.53,75.87
52.86,14.0,21.0,46.82
25.32,13.0,229.66,69.73
34.97,18.0,317.55,48.13
5.53,13.0,342.75,68.86
38.7,13.0,402.05,21.87
49.43,13.0,477.03,76.05
54.74,2.0,27.79,98.46
33.28,14.0,177.7,13.57
16.11,13.0,172.49,63.24
44.43,2.0,114.17,83.96
37.24,5.0,325.58,58.01
34.12,8.0,61.17,78.12
32.41,,172.52,67.69
55.35,4.0,4.89,19.33
30.01,6.0,492.63,47.21
52.79,19.0,442.34,18.74
16.43,3.0,85.38,96.4
34.46,16.0,128.97,92.23
52.95,,158.49,74.51
30.85,6.0,175.31,90.33
49.32,2.0,215.14,61.44
40.37,7.0,383.48,43.06
54.45,11.0,326.53,52.23
46.03,15.0,469.15,32.83
19.83,13.0,460.64,27.45
45.0,1.0,215.74,82.12
43.8,,244.36,94.76
36.6,14.0,303.0,73.94
32.67,7.0,172.05,35.59
24.51,2.0,202.17,43.07
50.65,10.0,37.38,23.74
14.76,19.0,126.04,25.26
14.48,10.0,150.11,47.97
57.31,9.0,66.21,53.11
1.38,16.0,459.02,62.8
39.84,16.0,252.89,72.83
29.44,7.0,101.87,15.2
14.55,5.0,457.63,62.72
43.1,14.0,368.74,33.94
10.88,15.0,124.67,4.72
29.82,4.0,157.63,47.95
39.72,5.0,257.22,26.02
24.04,10.0,287.33,63.47
52.12,13.0,275.79,28.79
23.67,5.0,357.61,83.0
5.03,19.0,302.93,53.5
46.89,18.0,304.97,80.04
5.29,7.0,451.27,10.45
3.71,,155.71,24.36
15.51,3.0,316.18,58.89
23.78,19.0,224.8,22.36
48.45,12.0,372.32,73.29
35.54,9.0,11.76,43.6
21.29,,462.06,6.47
47.23,17.0,324.49,100.0
7.75,8.0,13.15,31.31
12.9,14.0,26.77,92.04
18.4,18.0,407.7,92.45
32.31,6.0,180.24,46.85
20.93,4.0,186.56,97.53
54.43,8.0,476.97,80.68
12.44,4.0,428.31,54.49
40.93,,3.7,87.08
18.8,1.0,342.29,19.33
22.05,15.0,456.72,48.1
35.78,,476.64,55.54
53.16,16.0,460.14,86.47
58.67,7.0,218.21,77.85
11.07,,396.92,21.98
52.98,3.0,255.58,17.68
2.25,9.0,201.54,92.53
13.28,3.0,212.39,18.6
16.32,12.0,363.86,16.0
59.93,7.0,223.73,49.79
25.93,2.0,318.43,0.31
20.0,10.0,199.81,38.32
7.62,,473.56,11.13
17.78,16.0,255.84,98.06
38.77,,134.26,72.28
4.79,9.0,388.16,66.52
10.23,16.0,332.04,24.57
10.26,14.0,331.11,96.17
28.21,2.0,221.52,53.16
33.94,18.0,219.87,56.92
55.53,2.0,98.79,75.28
34.09,15.0,23.64,60.38
8.49,17.0,443.08,6.36
23.71,18.0,426.39,47.26
29.39,12.0,197.08,28.01
17.49,18.0,118.06,90.04
12.1,19.0,323.05,59.39
5.98,4.0,395.77,53.39
17.41,6.0,71.83,62.51
22.91,,121.62,15.96
23.7,14.0,248.22,82.05
56.59,8.0,52.86,72.3
22.23,9.0,213.03,96.05
49.05,4.0,202.3,30.15
38.98,4.0,315.68,65.87
59.14,15.0,331.07,62.99
42.36,6.0,483.01,11.13
26.93,17.0,87.14,86.17
14.48,17.0,42.19,81.71
36.67,13.0,274.25,1.23
37.53,4.0,158.41,74.67
28.99,8.0,32.03,56.97
27.82,11.0,84.65,90.43
11.54,7.0,163.39,47.05
17.49,3.0,61.39,55.7
11.03,1.0,417.48,16.1
58.16,4.0,477.42,77.57
15.0,1.0,417.04,38.26
8.08,14.0,221.65,63.72
56.07,10.0,463.28,18.51
15.82,6.0,249.53,3.05
50.5,5.0,66.19,36.47
3.25,12.0,473.92,57.12
37.14,10.0,391.52,44.1
14.26,10.0,25.57,40.7
57.04,15.0,485.04,61.85
19.33,1.0,309.2,11.04
44.34,,462.1,65.58
9.19,,487.5,90.68
27.58,7.0,360.92,34.72
18.46,16.0,266.45,80.22
57.92,4.0,426.32,43.58
28.8,7.0,486.68,2.07
3.27,6.0,256.51,97.39
31.94,3.0,131.04,51.87
3.93,18.0,487.45,63.33
7.3,6.0,450.3,79.11
17.31,11.0,58.02,62.69
58.32,12.0,364.97,95.78
49.97,9.0,217.19,98.64
17.53,7.0,331.75,84.84
48.57,14.0,212.43,0.82
27.35,,354.1,7.58
34.1,18.0,87.1,74.74
26.52,11.0,308.67,25.43
3.46,9.0,178.42,78.48
40.88,,241.9,71.37
8.18,12.0,495.04,71.4
3.85,8.0,365.1,8.26
23.08,17.0,48.34,54.5
22.53,14.0,70.17,81.78
33.56,1.0,174.35,20.35
15.67,6.0,17.12,79.03
3.49,16.0,109.5,88.31
11.72,4.0,326.72,85.9
47.01,15.0,53.22,13.58
3.09,15.0,319.89,96.1
29.74,8.0,322.17,55.3
52.59,9.0,227.42,16.93
51.15,10.0,340.19,32.29
34.45,7.0,159.59,39.17
6.22,7.0,457.04,11.91
44.53,11.0,415.42,20.0
10.0,6.0,424.62,48.99
30.11,11.0,466.35,3.56
9.29,14.0,214.13,63.56
21.31,16.0,12.23,14.79
47.91,9.0,292.38,72.57
29.89,19.0,187.28,40.33
21.94,14.0,469.72,42.86
3.73,,59.35,29.65
57.22,10.0,182.0,35.22
16.65,4.0,332.43,97.42
50.71,19.0,160.68,94.47
48.88,19.0,9.04,27.07
44.21,14.0,372.88,48.78
54.13,19.0,398.75,80.67
46.25,12.0,260.78,59.05
6.94,6.0,465.17,6.93
38.78,9.0,309.07,66.61
17.86,4.0,327.14,6.94
10.38,17.0,133.31,1.92
40.62,12.0,90.29,41.42
22.52,9.0,471.63,68.58
40.71,17.0,134.5,69.18
43.2,14.0,368.63,40.12
56.77,17.0,168.92,63.26
12.96,9.0,152.63,18.99
25.17,11.0,166.13,93.09
12.52,,0.1,80.53
47.12,6.0,76.87,49.3
26.5,5.0,337.93,12.52
26.87,15.0,185.78,18.52
3.39,5.0,36.65,55.7
11.28,11.0,300.98,7.65
36.65,15.0,327.55,59.1
54.07,7.0,133.8,66.07
29.33,,191.78,63.05
